ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
221,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/backend/main?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,76,495,178
222,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,141,440,29
223,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/vite.svg?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,65,166,568
224,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,69,379,568
225,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,72,379,568
226,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/backend/main/api?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,130,440,29
227,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/vite.svg?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,74,166,568
228,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/sitemap.xml?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,71,379,568
229,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/backend/main/api/user?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Method Not Allowed,155,458,36
230,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/robots.txt?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,70,379,568
231,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/backend/main/api/user?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Method Not Allowed,153,458,36
232,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/backend/main/api?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,404,Not Found,299,440,29
233,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:56 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,83,460,524
234,Mon Feb 02 16:07:56 GMT+06:00 2026,Mon Feb 02 16:07:56 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,77,429,178
235,Mon Feb 02 16:07:56 GMT+06:00 2026,Mon Feb 02 16:07:56 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,75,460,524
236,Mon Feb 02 16:07:56 GMT+06:00 2026,Mon Feb 02 16:07:56 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,70,435,178
237,Mon Feb 02 16:07:56 GMT+06:00 2026,Mon Feb 02 16:07:56 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,165,440,29
238,Mon Feb 02 16:07:56 GMT+06:00 2026,Mon Feb 02 16:07:56 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,63,460,524
239,Mon Feb 02 16:07:56 GMT+06:00 2026,Mon Feb 02 16:07:56 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,68,429,178
240,Mon Feb 02 16:07:56 GMT+06:00 2026,Mon Feb 02 16:07:56 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,63,460,524
241,Mon Feb 02 16:07:56 GMT+06:00 2026,Mon Feb 02 16:07:57 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,63,435,178
242,Mon Feb 02 16:07:57 GMT+06:00 2026,Mon Feb 02 16:07:57 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,153,440,29
243,Mon Feb 02 16:07:57 GMT+06:00 2026,Mon Feb 02 16:07:57 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,191,460,524
244,Mon Feb 02 16:07:57 GMT+06:00 2026,Mon Feb 02 16:07:57 GMT+06:00 2026,GET,https://amarsolution.xyz/assets,301,Moved Permanently,63,429,178
245,Mon Feb 02 16:07:57 GMT+06:00 2026,Mon Feb 02 16:07:57 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,66,460,524
246,Mon Feb 02 16:07:57 GMT+06:00 2026,Mon Feb 02 16:07:57 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,63,435,178
247,Mon Feb 02 16:07:57 GMT+06:00 2026,Mon Feb 02 16:07:57 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main/api,404,Not Found,149,440,29
248,Mon Feb 02 16:07:57 GMT+06:00 2026,Mon Feb 02 16:07:58 GMT+06:00 2026,GET,https://amarsolution.xyz,200,OK,203,460,524
